SA_TMI_mean,SA_TMI_dissimilarity,SA_TMI_VRTP_1VD_mean,SA_TMI_VRTP_1VD_dissimilarity,SA_TMI_VRTP_1VD_correlation,SA_TMI_VRTP_AS_dissimilarity,SA_TMI_VRTP_BigE_dissimilarity,SA_TMI_VRTP_BigT_mean,SA_TMI_VRTP_BigT_dissimilarity,SA_TMI_VRTP_CAUCHY_3rd_mean,SA_TMI_VRTP_CAUCHY_3rd_std,SA_TMI_VRTP_CAUCHY_3rd_dissimilarity,SA_TMI_VRTP_dissimilarity,SA_TMI_VRTP_PseudoGrav_std,SA_TMI_VRTP_PseudoGrav_dissimilarity,SA_TMI_VRTP_Tilt_std,SA_TMI_VRTP_Tilt_dissimilarity,SA_GRAV_1VD_ONSHORE_mean,SA_GRAV_1VD_ONSHORE_dissimilarity,SA_GRAV_ONSHORE_std,SA_RAD_DOSE_mean,SA_RAD_DOSE_dissimilarity,SA_RAD_K_std,SA_RAD_K_dissimilarity,SA_RAD_U_dissimilarity,AlOH_Group_Composition_std,AlOH_Group_Composition_dissimilarity,AlOH_Group_Composition_correlation,AlOH_Group_Content_mean,AlOH_Group_Content_std,AlOH_Group_Content_dissimilarity,AlOH_Group_Content_correlation,FeOH_Group_Content_mean,Ferric_Oxide_Composition_dissimilarity,Ferric_Oxide_Composition_correlation,Ferric_Oxide_Content_std,Ferric_Oxide_Content_dissimilarity,Ferric_Oxide_Content_correlation,Ferrous_Iron_Index_std,Ferrous_Iron_Index_dissimilarity,Green_Vegetation_correlation,Gypsum_Index_mean,Kaolin_Group_Index_mean,Opaque_Index_correlation,Quartz_Index_dissimilarity,Silica_Index_dissimilarity,DEM_9s_dx,DEM_9s_dy,label
0.06674619495827011,0.2126776555342391,0.4245022162879635,0.305712815234174,0.4886734155193362,0.48453608247422686,0.6122954883490332,0.21211400455238238,0.0891405342624855,0.4122897465173658,0.47320708994519045,0.43597240088878486,0.09488510007412901,0.6722863507331261,0.07639646790356186,0.7006263639995445,0.43524027459954245,0.606096941866268,0.17546094858049477,0.28189469023699876,0.7943831108969713,0.11366666666666667,0.37325554960666757,0.1380121703853955,0.19938039389245416,0.44589546989361484,0.1934972244250594,0.6292490134768445,0.15166341243452622,0.23777131096394044,0.44387493593029215,0.3236965648838587,0.0011547344469819711,0.24344569288389514,0.5939614858940652,0.45060186385685913,0.25854922279792736,0.5020187315533576,0.6739837331589325,0.26357747882411564,0.5305295650822952,0.009540089046391573,0.0002862686459669014,0.9530423980988001,0.2964984083674398,0.151238411512384,0.48443724492863877,0.5667176583959124,1.0
0.6525698678464688,0.2736515145582919,0.6570129151393407,0.519300051466804,0.4054225783325826,0.54553264604811,0.4476945959345563,0.4703508324479183,0.3002322880371661,0.34484103823959367,0.5723137730323075,0.4167933575020466,0.5244625648628615,0.04430739933739117,0.5011409862089494,0.7545433140674369,0.31762013729977107,0.8082085117234666,0.11661338012933006,0.08998502212787834,0.3346279135110809,0.46300000000000013,0.1424647331967438,0.2655578093306289,0.48450984731135227,0.15706671647205264,0.3263283108643931,0.328814592592203,0.3757688091154995,0.33350332463669285,0.2778062532034854,0.6084209889235506,0.17205543179911814,0.18913857677902632,0.6651830107724934,0.17007378501956333,0.35699481865284965,0.4936912150654896,0.21475641487534353,0.42750373692077726,0.3630117010236285,0.0038160357395943577,0.0,0.47770464985078376,0.2628467485220555,0.3428808634288086,0.4559365762092149,0.5237608012553264,1.0
0.45021180913542386,0.2272946765331558,0.3891024260830414,0.5599588265568709,0.4178762472673209,0.456615120274914,0.28061477441745175,0.2101004313996379,0.31823461091753774,0.3568256183617853,0.4887398140936491,0.5126885744357386,0.47368421052631593,0.02942111719809512,0.2508185335846811,0.8283131635844867,0.5052631578947371,0.29493909737395535,0.26402076973004157,0.11455006016406219,0.39897497829692663,0.5770000000000001,0.31818041325367274,0.33707910750507103,0.6099800840894005,0.36427439332230627,0.312747819191118,0.5705278801451681,0.23651103861416467,0.3824294304191198,0.4185674013326499,0.40222102706524465,0.10103926419104202,0.12226903870162296,0.5892260466179962,0.5140946580513484,0.19514248704663212,0.8721884875945113,0.24190368350664204,0.400909317389138,0.3628449868309648,0.034139889538451575,0.008087088920836526,0.3843788237913614,0.43974533879035926,0.37193856371938555,0.45004387969593823,0.5379353328694108,1.0
0.4189651946046126,0.6072589170353548,0.44758841412658945,0.48546062789500766,0.3449280923848421,0.2570160366552119,0.25268550652784666,0.22422946599965443,0.2282229965156794,0.6337499065446117,0.5777432104005593,0.5992281604490703,0.5538052878675562,0.02571942883937122,0.31907927373747397,0.7180998394111919,0.6468344774980932,0.2242053644833339,0.2570975263828457,0.06674226629364041,0.38321793208390975,0.24188888888888885,0.23366368812963995,0.22271805273833672,0.35323080327506096,0.3470444875200567,0.2606397039386728,0.4707814310521166,0.273588210732185,0.31512289426221174,0.32051939176490696,0.364149212735007,0.06581986203582038,0.16625052018310446,0.5572414618056505,0.4814279498835901,0.4407599309153712,0.36356749507277136,0.23811891692914272,0.5738249460222555,0.3266037177039248,0.016695156285076736,0.009876268504343724,0.26173954268297683,0.20190995907230555,0.28407361284073596,0.468606159808233,0.3876117696595397,1.0
0.671501991762585,0.3033162366391292,0.5447172039230539,0.5512094698919198,0.40181898457461146,0.3319372852233677,0.5439390183440753,0.3927401727727614,0.3663980836236933,0.1901715626734396,0.560579482212542,0.4785405215764238,0.380513343217198,0.05121862177987294,0.14489284651255088,0.8796793147108444,0.39147597254004574,0.8995348642450227,0.6736820596648958,0.02308013634577734,0.23742247433194277,0.596,0.16025030004535146,0.39407707910750517,0.6883159991148486,0.05389817433452568,0.37747819191118137,0.48409705882872767,0.680982705938749,0.504519720352513,0.6740133264992311,0.24976038531174832,0.0011547344469819711,0.30181023720349565,0.4542084562088509,0.1645842173706139,0.349740932642487,0.4995150179825123,0.25674078376379184,0.34180368709516695,0.5617873869075397,0.006746206028833085,0.0,0.39015311325150687,0.4879490677580718,0.6720630967206308,0.41546918976188346,0.41968252774242976,1.0
0.8243830684836884,0.4654477115226499,0.597619820304786,0.556699262309144,0.3653327265221999,0.3245990836197023,0.31581556767476443,0.45704921220506045,0.25106465350367785,0.5178780249950825,0.5065191445897881,0.3700152029002455,0.6985421299728194,0.044127537350246535,0.2998313324734597,0.8503046790234488,0.49900839054157115,0.33480518779215424,0.10747854515733554,0.07759366579586227,0.5125829216140863,0.7265555555555556,0.16907425349286181,0.6722109533468562,0.7581323301615402,0.36150787958119757,0.3283108643933385,0.481683186555986,0.25800253693849107,0.5044248392767763,0.5788484537843841,0.24511295334827587,0.16050808380403805,0.12317935913441531,0.5357035828434067,0.36481081197044246,0.37374784110535386,0.5158100681994628,0.3424088678690901,0.6336156784587277,0.3800963109956689,0.012197684792269823,0.002218582016174651,0.5180476371727256,0.25041685614673337,0.34689359346893583,0.37350035471329696,0.43974862009093374,1.0
0.09067861299205865,0.23930151521083742,0.4218337431005098,0.29662034654314634,0.6973778188281232,0.429410080183276,0.20509006775739558,0.27132741606412547,0.2069299264421215,0.7092996399755025,0.6401990117189064,0.41398666822593844,0.3024462564862862,0.02008261582775102,0.2976485762476437,0.7224822076394875,0.2173913043478261,0.6240341848923778,0.3640231736339816,0.051899774810510356,0.43823349333684947,0.09277777777777779,0.17815937662722692,0.25409060175794457,0.1473777384377075,0.10899332835631628,0.1519957705524715,0.4292639716314593,0.2760343768632417,0.1882150390778965,0.46711088330770545,0.3462585783231812,0.0017321015903534027,0.13524760715771952,0.8152925279882497,0.42268542139751625,0.15233160621761654,0.8676562029166077,0.43431965399103495,0.19282511210762332,0.3422844770372901,0.0016354437803281815,0.0015744774932309688,0.4522915202669091,0.1285432772472335,0.10225543102255424,0.41193711189086196,0.45092548820359935,1.0
0.4298521615299414,0.417837985983321,0.44622595601511866,0.4590838908903758,0.5067426961513225,0.33290378006872845,0.799206742687159,0.2161498794846884,0.4378629500580721,0.40886916131388207,0.6024607782481721,0.33680271313296684,0.482209043736101,0.024716143314608446,0.3067764659192381,0.7908485801250962,0.43935926773455375,0.13555178925561118,0.2325777061948605,0.09131115392668426,0.4604343939382406,0.33300000000000013,0.2873591263583741,0.2574442190669372,0.3992033635760125,0.37503290135863077,0.4714512291831878,0.3086275954152204,0.14303187468440717,0.22081846562389285,0.4807790876473603,0.48984118878878197,0.2621247215480158,0.08739076154806491,0.5542803847167803,0.4385936896151043,0.41398963730569954,0.4255592518012586,0.1865082210533983,0.4464374688589935,0.3760217868069399,0.0320955865151344,0.015386939333405522,0.2768436824249696,0.3024101864483856,0.29970942299709424,0.2532314044074629,0.5568401212615226,0.0
0.7099912647194577,0.25919110449864924,0.5567993868266334,0.471650368845428,0.4996704796712253,0.6185924971363115,0.25661047760700706,0.538224762002495,0.2479190863337204,0.4652642748910968,0.49869124659360187,0.23923127899271043,0.3698109710896961,0.07321792389119544,0.2974253398154579,0.8399479599057891,0.31578947368421056,0.9913188044766341,0.5297242722180824,0.0021651219129951403,0.32828308534548495,0.3883333333333333,0.1415793012353695,0.4087897227856659,0.45939367116618735,0.1557831188923249,0.10943695479777944,0.5871225852440464,0.4799762331345651,0.351188862728263,0.4394327695199044,0.41479129034844,0.0392609708769088,0.3160632542655015,0.34793819878334964,0.13706618878987065,0.22141623488773743,0.5930531827380998,0.3711947090990058,0.48712838398937053,0.2879852722415768,0.003066457258324646,0.0,0.18252982187078357,0.23222676974382286,0.38487615884876153,0.4564491943677726,0.4983082234740061,0.0
0.06765479364386066,0.39278023569946363,0.40852792721213144,0.32887287699433876,0.6409713972680502,0.3732817869415807,0.29945463559742186,0.2742272527830555,0.10772357723577235,0.650176370569755,0.535176635829088,0.5622734183136474,0.4855448480355821,0.509013395969305,0.2770116082944737,0.5324880403993788,0.15469107551487415,0.6583458820652732,0.16651842592370014,0.12772810405072046,0.033357373408685616,0.16900000000000004,0.10903043769714542,0.3106693711967547,0.33613631334366034,0.3744232071813005,0.26962727993655816,0.3321802396277044,0.2125034973180045,0.249148824623871,0.39723218862122,0.5129330160157398,0.1911085539399397,0.12765293383270915,0.8710205122424626,0.0063155238006096515,0.2772020725388601,0.8016567537848203,0.4328113545512251,0.49227703039362225,0.9999999999999999,0.0,0.014241864908436555,0.6199829229406397,0.2796725784447476,0.3150684931506849,0.5500097412239617,0.4809442559654826,0.0
