Archean_Early_Mesoproterozoic_Faults,Felsic_granite,Mesoproterozoic_strata
0.7946248286440875,1.0,1.0
0.9820987680728445,1.0,1.0
0.8162951964018726,1.0,0.9095437514904013
0.6609880987250649,0.8813805756420291,0.9433201528436324
0.942606898837298,0.9625675518272362,1.0
0.7739043472777422,0.9469848372454464,1.0
0.924502551699733,1.0,1.0
0.9928535716726995,1.0,1.0
0.9739098697487593,1.0,0.9723528230949923
0.8894081968351216,1.0,1.0
0.8023560717843486,1.0,1.0
0.9015140985126049,0.982996934354263,1.0
0.8604344747309693,1.0,1.0
0.9471376978418904,1.0,1.0
0.9647658112255405,1.0,1.0
0.8721607313223781,1.0,1.0
0.9325093280771899,0.866750797195386,1.0
0.8148409697239702,0.9074180640012364,1.0
0.7999916946350807,0.9344329878804875,0.9797732533318876
0.8899726500827136,0.9743868630006159,1.0
0.9845033345091939,1.0,1.0
0.9171526472156557,1.0,0.9989256336359406
0.9278837544583519,1.0,1.0
0.8511422184178277,0.9453243262451276,1.0
0.8168621702422323,0.9384412761663079,1.0
0.6955726202701407,0.9108150399409203,0.9226668376126211
0.6377267583463545,0.8423549122711569,0.9417549092641492
0.7306982250475587,0.8688330094093442,0.9085378897174641
0.8272438311553433,0.9399066660164052,1.0
0.926155747911156,0.9637453097242856,1.0
0.9604993101499972,1.0,1.0
0.8576161482019893,1.0,1.0
0.7265255354386999,1.0,1.0
0.6916383665167994,1.0,0.9603175455104709
0.6737050978537011,1.0,1.0
0.5575318571234236,1.0,1.0
0.5794656739997783,0.9369290602489416,1.0
0.6732620275825354,0.880803281610312,0.977088661887251
0.7181162058148656,0.8841114098456093,1.0
0.8951792684981692,0.9875705395451131,1.0
0.9762601271614002,1.0,1.0
0.983733168067619,1.0,1.0
0.9168450398861193,1.0,1.0
0.908822446999295,1.0,1.0
0.8470772028135761,1.0,1.0
0.790461713869592,1.0,1.0
0.7413491187146397,1.0,1.0
0.7200588117289636,1.0,0.9785580584992504
0.8377848397713308,1.0,0.8927486244840375
0.9001796069877116,0.8959817265327792,0.9890094503277544
0.9293013845513626,0.9498165295894875,1.0
0.997301439144242,0.9646411956439046,1.0
0.8170823729891663,1.0,1.0
0.8060620587255908,1.0,1.0
0.7520437409269665,1.0,0.9786189404611835
0.9813516135039462,0.9618149239527163,1.0
0.948901935551104,0.9643131610556328,1.0
0.9929307165744151,0.9950510220436446,1.0
0.9452945155157582,0.9937201429931032,1.0
0.9062543112497843,1.0,1.0
0.8323951564084129,0.9775195115476295,1.0
0.9690396488351007,0.9579362716697195,0.9850728393312393
0.9352247467406052,0.881544318039701,1.0
0.9127123990555223,0.9251037512900604,1.0
0.8448275485922082,0.9864063968449776,1.0
0.8100936531074575,0.9741184868051116,0.9926038149324845
0.9726469822575206,1.0,1.0
0.8694231557635183,1.0,1.0
0.9554290737660215,1.0,1.0
0.8178406077387833,0.8257221026250692,1.0
0.8682997194312165,0.8472456933496924,1.0
0.788460003591142,0.8507092320151124,1.0
0.8336600630597888,0.8838592145311733,1.0
0.928366298547123,0.8815441035038014,1.0
0.9445882612869446,0.8855439019811293,1.0
0.9590715210732114,0.8757050357304778,1.0
0.918489744913353,0.8418356567676338,0.9593589300803324
0.7832268567714016,0.8176004816427925,1.0
0.7498532729625345,0.931630778964172,1.0
0.7685042273958637,0.9532324418806029,1.0
0.8167071279936383,0.961371342940232,1.0
0.8905941008554032,1.0,1.0
0.9879201431484311,1.0,0.9540487372862427
0.9939932560833411,1.0,1.0
0.8985133575770122,1.0,1.0
0.7153118395957034,1.0,0.9097205595233292
0.5560388757838268,0.6500971535018787,0.9107252246042945
0.6643665981134868,0.7017986785368918,0.9173583704608316
0.6888542425437589,0.7193711793362056,0.9104719148419952
0.8366900618240279,0.7247161954072725,0.9313441395513359
0.9088940443766111,0.7603142799597751,1.0
0.9727042184120253,0.7594215667245441,1.0
0.9699204540575341,0.7572017293871365,1.0
0.8871281380642795,0.7547087492429505,0.9710232822152587
0.7807484295804804,0.7128349735430943,1.0
0.7947756375385704,0.809374104992203,1.0
0.89035231005174,0.9110848990825013,1.0
0.9459166232377434,0.9873334490662004,1.0
0.9944590468733592,0.953612158840434,1.0
0.9487078675262749,0.9418002280139625,0.9988685757820376
0.8661014515045439,0.9862978346733334,1.0
0.949989244414976,1.0,1.0
0.9611494327137319,1.0,1.0
0.8757628850816551,1.0,1.0
0.7595733302882649,1.0,0.8785920745995119
0.4311870580492836,0.5486443999013016,0.7550058392750013
0.6127871162942626,0.5874301224334085,0.759626608591589
0.7880186117167228,0.603896411578986,0.7532175190149379
0.9075170101915537,0.6112687196890438,0.7953360368407594
0.937325648028729,0.6466990013489222,0.924979780269529
0.912296100533528,0.6460927610037895,0.9657097625544298
0.8791547915408158,0.6416877843111741,1.0
0.8680596443317001,0.6408228031979523,1.0
0.9096607376985074,0.6400429194452826,1.0
0.950531148241278,0.7398197316321034,1.0
0.9643705412408614,0.857927916011886,1.0
0.8944514093499968,0.963811586502271,1.0
0.8557804836412635,0.9904151477907215,1.0
0.7911120382808378,0.9379484168644805,1.0
0.7199049953474654,0.914688309336231,1.0
0.8059639355188928,0.9926062250289429,1.0
0.8962804251660808,1.0,1.0
0.9924449704539415,0.9947119184094065,1.0
0.8932674082917894,1.0,0.9988373716493578
0.24774787997592096,0.3732897252687313,0.5342010354889417
0.43109571272424263,0.42919810488097665,0.5808626053394312
0.6126529453067533,0.4593459242673512,0.5843690954035419
0.7877736394597696,0.4760682792430798,0.57849041254043
0.9069569444536252,0.4874005255463788,0.6858044385488952
0.9117934346724788,0.5189068642436907,0.7500809203203241
0.9025177877214313,0.5184614829134531,0.8414520618624747
0.9763210888431262,0.844497114979247,1.0
0.958906949673447,0.9501196182099977,1.0
0.9990210870000775,0.9613080369618779,1.0
0.8206670480504026,1.0,1.0
0.6354653442468781,0.9144117254268923,1.0
0.6428346724151928,0.8933636496270648,1.0
0.7493248502909279,0.9844229454717452,1.0
0.8994797122822134,1.0,1.0
0.9710250454426567,0.9797580020692327,1.0
0.38160601331584887,0.3186101013117947,0.42413369479741814
0.5430580041573079,0.3436584576844317,0.42663733353429945
0.6778250576461058,0.36091486018753927,0.45135853996354414
0.7404964404964334,0.37628153443285783,0.5496471114555621
0.7458923539202705,0.40333386945598104,0.6050198289923812
0.9700526401939786,0.7871536675650409,1.0
0.902713269206057,0.8774369900837807,1.0
0.8481901308603167,0.9249635728130566,1.0
0.7523900933960428,0.9736334748517591,1.0
0.5974617287564818,0.9694112893408131,1.0
0.5018003870337415,0.8809447588126698,1.0
0.6365036884764941,0.9219743707148518,1.0
0.7821615894557479,1.0,1.0
0.938446087180906,1.0,1.0
0.28384128486569504,0.19381962137035957,0.2498582168322383
0.41753362140669315,0.21487655173069342,0.25137982034625206
0.5159892923638194,0.23253233173062415,0.3104300119673993
0.5554370679029175,0.25220630048420756,0.3857386216400498
0.5614597651857649,0.2746165399704392,0.4800571553601817
0.8566429595362023,0.7479829927840893,1.0
0.7625195486029162,0.8750251802659526,1.0
0.6755898471606854,0.9756062645751558,1.0
0.6013986313749002,0.9912231444042331,1.0
0.4904794707698257,0.9952188161676335,0.9658517499274885
0.5024196701084527,0.9528141319466231,1.0
0.6287468187559069,0.8493631391511487,1.0
0.6896044748042846,0.9398495264006721,1.0
0.8538212577659192,0.9971991953806968,1.0
0.16995500551535347,0.08043939391676291,0.09251340064366309
0.28211586867780825,0.09891561929793691,0.09364805847700941
0.35940958514310495,0.11675625982262205,0.1720467011271939
0.3887977975588245,0.13921965757114607,0.24418204503606378
0.3952004555321581,0.15861510296364545,0.3537588569804807
0.6310146379710182,0.8544052601836255,1.0
0.516677332607583,0.9241951236772923,1.0
0.4517709903352721,0.9695094943228297,1.0
0.44286623976710116,0.9985090798319334,1.0
0.6032178327807635,1.0,0.9518970646765778
0.7507423447855922,0.9426390876004997,1.0
0.8563073133781333,0.8681181108772474,1.0
0.798352676081513,0.9201031289173334,1.0
0.38994297942796863,0.9674422573271726,1.0
0.30596660245345586,0.9826370841170708,1.0
0.48999562809436714,0.9992590349851963,1.0
0.6726723420019081,1.0,0.9778049288728414
0.8490067208789797,1.0,0.9121043089524029
0.98685939475889,0.9751279869401849,1.0
0.8133063837910123,0.8597448874263185,1.0
0.6760819785677235,1.0,0.8519982744386684
0.820834950123553,1.0,0.7701591422606687
0.863736169798939,1.0,0.960603177446796
0.727935915689667,0.9600149637364673,1.0
0.5716530053697602,1.0,0.7151975943002442
0.6851440651649661,1.0,0.7187272939153478
0.7074232273914157,1.0,0.8520020863499431
0.6187627771248496,1.0,0.9014958659854967
0.5763266419952737,1.0,0.8724572892097582
0.594558049006416,1.0,0.7864039461799691
0.592895858084143,1.0,0.7009894187742218
0.5721128065114645,1.0,0.7910609938250792
0.7310955404913553,0.9933156338900311,1.0
0.7612532258677326,1.0,0.9296284914309272
0.7595833620600456,1.0,0.8265840930572861
0.7260438829209421,1.0,0.7396040414354496
0.8643729979363485,1.0,1.0
0.9464700890469733,0.9446918189447554,1.0
0.9447916998110485,1.0,0.9752994060482949
0.8578837788185751,1.0,0.9053498090408578
0.8282757794619785,0.9593076876763811,1.0
0.7670848049010806,1.0,0.8781860697183614
0.9021552331889757,1.0,0.9892773887017137
0.8042951822972562,1.0,0.8419768788645787
0.9570347447521098,0.9699909305701169,1.0
0.9474800546362365,1.0,0.9221163749651068
0.8526240282265763,0.9426559462353568,0.7756462947483662
0.7731931249458632,0.813671823541648,0.667629749792602
0.9930089248550948,1.0,0.9946123857874233
0.9781492315931842,0.9256107941719324,1.0
0.9824435004593135,0.9209639465014415,0.9019375960799763
0.9425226196963971,0.8016335439325537,0.8345441226016259
0.8717778382454937,0.722088002753901,0.7924852895854846
0.9613856473338349,1.0,1.0
0.9899214601266632,0.9929501677666632,1.0
0.9034106095133347,0.938378029155065,1.0
0.9737711620447094,0.8871915546376047,0.9922184321692826
0.9726718389498761,0.8158872278976618,0.9421016482298494
0.9608699439607437,0.7440041309836745,0.9016877544824131
0.8521310609270073,0.9312082966205582,1.0
0.963223619027012,1.0,0.9404864589969968
0.9369183564058595,1.0,1.0
0.8139100396671753,0.983897395963874,1.0
0.8170823272998139,0.9173490725536106,1.0
0.883579733234626,0.8386273230291451,1.0
0.943723222361984,0.8432559537005175,0.9907945513154388
0.8008344214227873,0.9182099297198603,1.0
0.920702127647794,0.8952656339697902,0.9841958620675796
0.9873385749385455,0.9831040812720854,0.9700617089214342
0.9096191299170698,1.0,1.0
0.7758400949893474,0.989013401235208,1.0
0.7322823619176128,0.9678001848775881,1.0
0.7955077037040295,0.9635680649103135,1.0
0.7677101967757392,0.9917675423911593,1.0
0.7059233942749825,0.9779578383461471,1.0
0.8798311152213429,0.8986119439163828,1.0
0.9763556210831255,0.8992375439346654,0.9287099762275789
0.9838441307439239,0.988707404022372,1.0
0.8739967063259162,1.0,1.0
0.8228039749093705,1.0,1.0
0.960684323032536,1.0,1.0
0.8323199558528822,1.0,1.0
0.7115405385696321,1.0,1.0
0.600607221401444,1.0,0.9934942704370047
0.6533338011465204,1.0,0.9145532902271382
0.8329727816341712,1.0,1.0
0.974411931029907,0.9304345472708904,1.0
0.9180579637954734,0.9137173199112786,0.9044680471217565
0.992824677699858,0.9949770003612883,1.0
0.8691984653563612,1.0,1.0
0.9057752213193103,1.0,1.0
0.9713317446726398,1.0,1.0
0.8632852526013999,1.0,1.0
0.7639442044875251,1.0,1.0
0.6263397148644305,0.9665136857020873,1.0
0.602717396036063,1.0,0.7713624480027506
0.7345330743524392,1.0,0.8828673333270225
0.8385118912466287,0.9789942191675964,1.0
0.971008288048991,0.8664394900947606,0.9865962689612254
0.8840708409132203,0.9190525567926043,0.8993435560266417
0.9927388465346776,1.0,1.0
0.8933067362888159,1.0,1.0
0.8948540693303633,1.0,1.0
0.9928341968450085,1.0,1.0
0.8632945547556152,1.0,1.0
0.679709121403783,0.963434348595543,1.0
0.6899313234621873,0.9713070080308884,1.0
0.6791007005765939,1.0,0.8828710093386672
0.5803458734486014,1.0,0.9008905455871141
0.7218001924992907,1.0,1.0
0.869263387929822,0.8961034156863388,1.0
0.9908096866268603,0.8282452701754173,0.9797515068747082
0.8559781107010725,0.8941720381211282,0.8694876740569377
0.983771800175877,0.9733860515528374,0.9724512410610558
0.9515107146955936,1.0,1.0
0.9010068014525895,1.0,1.0
0.8112336240400209,1.0,1.0
0.750093647748424,0.9655953034911889,1.0
0.7482159094707362,0.9476434896526572,1.0
0.9333435467122408,1.0,1.0
0.6649341063346277,0.9626771853930507,1.0
0.4865164127894086,0.9323967290975996,1.0
