X,Y
139.354636,-30.26119468
139.3445439,-30.25175829
139.354636,-30.25175829
139.364728,-30.25175829
139.3344519,-30.2423219
139.3445439,-30.2423219
139.354636,-30.2423219
139.364728,-30.2423219
139.37482,-30.2423219
139.3344519,-30.23288551
139.3445439,-30.23288551
139.354636,-30.23288551
139.364728,-30.23288551
139.37482,-30.23288551
139.3849121,-30.23288551
139.3950041,-30.23288551
139.3243599,-30.22344912
139.3344519,-30.22344912
139.3445439,-30.22344912
139.354636,-30.22344912
139.364728,-30.22344912
139.37482,-30.22344912
139.3849121,-30.22344912
139.3950041,-30.22344912
139.4050961,-30.22344912
139.3142679,-30.21401273
139.3243599,-30.21401273
139.3344519,-30.21401273
139.3445439,-30.21401273
139.354636,-30.21401273
139.364728,-30.21401273
139.37482,-30.21401273
139.3849121,-30.21401273
139.3950041,-30.21401273
139.4050961,-30.21401273
139.3041758,-30.20457634
139.3142679,-30.20457634
139.3243599,-30.20457634
139.3344519,-30.20457634
139.3445439,-30.20457634
139.354636,-30.20457634
139.364728,-30.20457634
139.37482,-30.20457634
139.3849121,-30.20457634
139.3950041,-30.20457634
139.4050961,-30.20457634
139.4151881,-30.20457634
139.4252802,-30.20457634
139.3041758,-30.19513994
139.3142679,-30.19513994
139.3243599,-30.19513994
139.3344519,-30.19513994
139.3445439,-30.19513994
139.354636,-30.19513994
139.364728,-30.19513994
139.37482,-30.19513994
139.3849121,-30.19513994
139.3950041,-30.19513994
139.4050961,-30.19513994
139.4151881,-30.19513994
139.4252802,-30.19513994
139.4353722,-30.19513994
139.2940838,-30.18570355
139.3041758,-30.18570355
139.3142679,-30.18570355
139.3243599,-30.18570355
139.3344519,-30.18570355
139.3445439,-30.18570355
139.354636,-30.18570355
139.364728,-30.18570355
139.37482,-30.18570355
139.3849121,-30.18570355
139.3950041,-30.18570355
139.4050961,-30.18570355
139.4151881,-30.18570355
139.4252802,-30.18570355
139.4353722,-30.18570355
139.4454642,-30.18570355
139.4555563,-30.18570355
139.2839918,-30.17626716
139.2940838,-30.17626716
139.3041758,-30.17626716
139.3142679,-30.17626716
139.3243599,-30.17626716
139.3344519,-30.17626716
139.3445439,-30.17626716
139.354636,-30.17626716
139.364728,-30.17626716
139.37482,-30.17626716
139.3849121,-30.17626716
139.3950041,-30.17626716
139.4050961,-30.17626716
139.4151881,-30.17626716
139.4252802,-30.17626716
139.4353722,-30.17626716
139.4454642,-30.17626716
139.4555563,-30.17626716
139.4656483,-30.17626716
139.2839918,-30.16683077
139.2940838,-30.16683077
139.3041758,-30.16683077
139.3142679,-30.16683077
139.3243599,-30.16683077
139.3344519,-30.16683077
139.3445439,-30.16683077
139.354636,-30.16683077
139.364728,-30.16683077
139.37482,-30.16683077
139.3849121,-30.16683077
139.3950041,-30.16683077
139.4050961,-30.16683077
139.4151881,-30.16683077
139.4252802,-30.16683077
139.4353722,-30.16683077
139.4454642,-30.16683077
139.4555563,-30.16683077
139.4656483,-30.16683077
139.2738998,-30.15739438
139.2839918,-30.15739438
139.2940838,-30.15739438
139.3041758,-30.15739438
139.3142679,-30.15739438
139.3243599,-30.15739438
139.3344519,-30.15739438
139.3849121,-30.15739438
139.3950041,-30.15739438
139.4050961,-30.15739438
139.4151881,-30.15739438
139.4252802,-30.15739438
139.4353722,-30.15739438
139.4454642,-30.15739438
139.4555563,-30.15739438
139.4656483,-30.15739438
139.2839918,-30.14795799
139.2940838,-30.14795799
139.3041758,-30.14795799
139.3142679,-30.14795799
139.3243599,-30.14795799
139.3849121,-30.14795799
139.3950041,-30.14795799
139.4050961,-30.14795799
139.4151881,-30.14795799
139.4252802,-30.14795799
139.4353722,-30.14795799
139.4454642,-30.14795799
139.4555563,-30.14795799
139.4656483,-30.14795799
139.2839918,-30.1385216
139.2940838,-30.1385216
139.3041758,-30.1385216
139.3142679,-30.1385216
139.3243599,-30.1385216
139.3849121,-30.1385216
139.3950041,-30.1385216
139.4050961,-30.1385216
139.4151881,-30.1385216
139.4252802,-30.1385216
139.4353722,-30.1385216
139.4454642,-30.1385216
139.4555563,-30.1385216
139.4656483,-30.1385216
139.2839918,-30.12908521
139.2940838,-30.12908521
139.3041758,-30.12908521
139.3142679,-30.12908521
139.3243599,-30.12908521
139.3950041,-30.12908521
139.4050961,-30.12908521
139.4151881,-30.12908521
139.4252802,-30.12908521
139.4353722,-30.12908521
139.4454642,-30.12908521
139.4555563,-30.12908521
139.4656483,-30.12908521
139.4050961,-30.11964882
139.4151881,-30.11964882
139.4252802,-30.11964882
139.4353722,-30.11964882
139.4454642,-30.11964882
139.4555563,-30.11964882
139.4656483,-30.11964882
139.4353722,-30.11021243
139.4454642,-30.11021243
139.4555563,-30.11021243
139.4656483,-30.11021243
139.4353722,-30.10077604
139.4454642,-30.10077604
139.4555563,-30.10077604
139.4656483,-30.10077604
139.4353722,-30.09133965
139.4454642,-30.09133965
139.4555563,-30.09133965
139.4656483,-30.09133965
139.4353722,-30.08190326
139.4454642,-30.08190326
139.4555563,-30.08190326
139.4656483,-30.08190326
139.4353722,-30.07246687
139.4454642,-30.07246687
139.4555563,-30.07246687
139.4656483,-30.07246687
139.4656483,-30.06303048
139.4757403,-30.16683077
139.4757403,-30.15739438
139.4858323,-30.15739438
139.4757403,-30.14795799
139.4858323,-30.14795799
139.4959244,-30.14795799
139.5060164,-30.14795799
139.4757403,-30.1385216
139.4858323,-30.1385216
139.4959244,-30.1385216
139.5060164,-30.1385216
139.5161084,-30.1385216
139.4757403,-30.12908521
139.4858323,-30.12908521
139.4959244,-30.12908521
139.5060164,-30.12908521
139.5161084,-30.12908521
139.5262004,-30.12908521
139.4757403,-30.11964882
139.4858323,-30.11964882
139.4959244,-30.11964882
139.5060164,-30.11964882
139.5161084,-30.11964882
139.5262004,-30.11964882
139.5362925,-30.11964882
139.4757403,-30.11021243
139.4858323,-30.11021243
139.4959244,-30.11021243
139.5060164,-30.11021243
139.5161084,-30.11021243
139.5262004,-30.11021243
139.5362925,-30.11021243
139.5463845,-30.11021243
139.4757403,-30.10077604
139.4858323,-30.10077604
139.4959244,-30.10077604
139.5060164,-30.10077604
139.5161084,-30.10077604
139.5262004,-30.10077604
139.5362925,-30.10077604
139.5463845,-30.10077604
139.5564765,-30.10077604
139.5665686,-30.10077604
139.4757403,-30.09133965
139.4858323,-30.09133965
139.4959244,-30.09133965
139.5060164,-30.09133965
139.5161084,-30.09133965
139.5262004,-30.09133965
139.5362925,-30.09133965
139.5463845,-30.09133965
139.5564765,-30.09133965
139.5665686,-30.09133965
139.5766606,-30.09133965
139.4757403,-30.08190326
139.4858323,-30.08190326
139.4959244,-30.08190326
139.5060164,-30.08190326
139.5161084,-30.08190326
139.5262004,-30.08190326
139.5362925,-30.08190326
139.5463845,-30.08190326
139.5564765,-30.08190326
139.5665686,-30.08190326
139.5766606,-30.08190326
139.5867526,-30.08190326
139.4757403,-30.07246687
139.4858323,-30.07246687
139.4959244,-30.07246687
139.5060164,-30.07246687
139.5161084,-30.07246687
139.5262004,-30.07246687
139.5362925,-30.07246687
139.5463845,-30.07246687
139.5564765,-30.07246687
139.5665686,-30.07246687
139.5766606,-30.07246687
139.5867526,-30.07246687
139.5968446,-30.07246687
139.4757403,-30.06303048
139.4858323,-30.06303048
139.4959244,-30.06303048
139.5060164,-30.06303048
139.5161084,-30.06303048
139.5262004,-30.06303048
139.5362925,-30.06303048
139.5463845,-30.06303048
139.5564765,-30.06303048
139.5665686,-30.06303048
139.5766606,-30.06303048
139.5867526,-30.06303048
139.5968446,-30.06303048
139.6069367,-30.06303048
139.6170287,-30.06303048
139.4959244,-30.05359409
139.5060164,-30.05359409
139.5161084,-30.05359409
139.5262004,-30.05359409
139.5362925,-30.05359409
139.5463845,-30.05359409
139.5564765,-30.05359409
139.5665686,-30.05359409
139.5766606,-30.05359409
139.5867526,-30.05359409
139.5968446,-30.05359409
139.6069367,-30.05359409
139.6170287,-30.05359409
139.4959244,-30.0441577
139.5060164,-30.0441577
139.5161084,-30.0441577
139.5262004,-30.0441577
139.5362925,-30.0441577
139.5463845,-30.0441577
139.5564765,-30.0441577
139.5665686,-30.0441577
139.5766606,-30.0441577
139.5867526,-30.0441577
139.5968446,-30.0441577
139.6069367,-30.0441577
139.6170287,-30.0441577
139.6271207,-30.0441577
139.6372127,-30.0441577
139.5564765,-30.03472131
139.5665686,-30.03472131
139.5766606,-30.03472131
139.5867526,-30.03472131
139.5968446,-30.03472131
139.6069367,-30.03472131
139.6170287,-30.03472131
139.6271207,-30.03472131
139.6372127,-30.03472131
139.6473048,-30.03472131
139.5665686,-30.02528492
139.5766606,-30.02528492
139.5867526,-30.02528492
139.5968446,-30.02528492
139.6069367,-30.02528492
139.6170287,-30.02528492
139.6271207,-30.02528492
139.6372127,-30.02528492
139.6473048,-30.02528492
139.6573968,-30.02528492
139.5766606,-30.01584853
139.5867526,-30.01584853
139.5968446,-30.01584853
139.6069367,-30.01584853
139.6170287,-30.01584853
139.6271207,-30.01584853
139.6372127,-30.01584853
139.6473048,-30.01584853
139.6573968,-30.01584853
139.6674888,-30.01584853
139.5665686,-30.00641214
139.5766606,-30.00641214
139.5867526,-30.00641214
139.5968446,-30.00641214
139.6069367,-30.00641214
139.6170287,-30.00641214
139.6271207,-30.00641214
139.6372127,-30.00641214
139.6473048,-30.00641214
139.6573968,-30.00641214
139.6674888,-30.00641214
139.5665686,-29.99697575
139.5766606,-29.99697575
139.5867526,-29.99697575
139.5968446,-29.99697575
139.6069367,-29.99697575
139.6170287,-29.99697575
139.6271207,-29.99697575
139.6372127,-29.99697575
139.6473048,-29.99697575
139.6573968,-29.99697575
139.6674888,-29.99697575
139.5665686,-29.98753936
139.5766606,-29.98753936
139.5867526,-29.98753936
139.5968446,-29.98753936
139.6069367,-29.98753936
139.6170287,-29.98753936
139.6271207,-29.98753936
139.6372127,-29.98753936
139.6473048,-29.98753936
139.6573968,-29.98753936
139.6674888,-29.98753936
139.5362925,-29.97810297
139.5463845,-29.97810297
139.5564765,-29.97810297
139.5665686,-29.97810297
139.5766606,-29.97810297
139.5867526,-29.97810297
139.5968446,-29.97810297
139.6069367,-29.97810297
139.6170287,-29.97810297
139.6271207,-29.97810297
139.6372127,-29.97810297
139.6473048,-29.97810297
139.6573968,-29.97810297
139.6674888,-29.97810297
139.5362925,-29.96866658
139.5463845,-29.96866658
139.5564765,-29.96866658
139.5665686,-29.96866658
139.5766606,-29.96866658
139.5867526,-29.96866658
139.5968446,-29.96866658
139.6069367,-29.96866658
139.6170287,-29.96866658
139.6271207,-29.96866658
139.6372127,-29.96866658
139.6473048,-29.96866658
139.6573968,-29.96866658
139.6674888,-29.96866658
139.5362925,-29.95923019
139.5463845,-29.95923019
139.5564765,-29.95923019
139.5665686,-29.95923019
139.5766606,-29.95923019
139.5867526,-29.95923019
139.5968446,-29.95923019
139.6069367,-29.95923019
139.6170287,-29.95923019
139.6271207,-29.95923019
139.6372127,-29.95923019
139.6473048,-29.95923019
139.6573968,-29.95923019
139.6674888,-29.95923019
139.5362925,-29.9497938
139.5463845,-29.9497938
