fault_distance,granite_distance,strata_distance
0.7946248286440875,1.0,1.0
0.9820987680728445,1.0,1.0
0.8162951964018726,1.0,0.9095437514904013
0.6609880987250649,0.8813805756420291,0.9433201528436324
0.942606898837298,0.9625675518272362,1.0
0.7739043472777422,0.9469848372454464,1.0
0.924502551699733,1.0,1.0
0.8953474696049453,1.0,1.0
0.9272112552122114,0.9922525497255269,1.0
0.41951883156302405,0.5947343137673167,0.6462236800369522
0.7053995676943225,0.9794589556724406,1.0
0.8168146858976595,0.9816136840910418,1.0
0.669648066840508,1.0,0.854716655588731
0.6876339469470125,1.0,1.0
0.889137671773202,1.0,1.0
0.8830259151735866,0.9183230503054417,0.9312869269758122
0.843437658418771,1.0,1.0
0.9675276946861129,0.7941678347444199,0.8820616271796399
0.7590791993893861,1.0,1.0
0.7823234651500102,0.9955434710991329,1.0
0.6458452592636816,1.0,1.0
0.8708192465996182,1.0,0.8460886288839989
0.8934559629836869,0.9550283706597933,1.0
0.8324668869232552,1.0,1.0
0.6923634065285064,1.0,0.8126620632043259
0.9754925851998871,1.0,1.0
0.8781493578688995,1.0,1.0
0.9959761459607048,0.8407728291338225,0.9948903243030548
0.3008089727936152,0.1031570021853373,0.10075122928246516
0.8741844928655805,0.9121506838530518,0.8646721539182582
0.877858620753177,0.9147156098447241,0.8691804046746995
0.5513333739470249,1.0,0.9413525365743807
0.7954547082007423,0.899735678326469,1.0
0.8911094371756988,1.0,1.0
0.9027818280098454,1.0,1.0
0.8642955997191032,1.0,1.0
0.9193300575557921,1.0,1.0
0.922490107561746,0.9816247768006401,1.0
0.977696883832383,1.0,1.0
0.49033732462796353,1.0,1.0
0.8983527654417388,0.9235251300283026,1.0
0.7717757304443532,0.8406558490539527,0.7761567982430463
0.943871106602057,0.960800999097348,1.0
0.899838741123796,0.7058648603495392,1.0
0.8286556340692305,0.865868818696891,0.853459287314553
0.7272843070448607,0.8095949869119173,0.8317834673860095
0.8023560717843486,1.0,1.0
0.6722915085386065,0.95808905719657,0.9578537113079486
0.7633316473266601,0.8079781010117418,0.7475038604779995
0.5578921866759483,1.0,0.7959795137783676
0.9750477551836818,0.9825663689624148,1.0
0.8868184518549755,0.9804188183932512,1.0
0.38323163492947165,0.9804622661992255,1.0
0.9473458712289474,1.0,1.0
0.5515836729431116,1.0,0.7599269421175108
0.27462446127447215,0.1410070544511406,0.16743496510974498
0.7337026710337169,0.9317582209499299,1.0
0.4271718009329081,0.9783279681975763,1.0
0.6136242220320158,0.9598564762285039,0.9669161876587968
0.9247141655213422,1.0,1.0
0.7092199949039129,0.9319968384155678,1.0
0.8822610864190303,0.8485222084345525,1.0
0.9334064950611638,0.9534953269340531,0.9328101468178902
0.7711347007560275,0.8676562698655774,1.0
0.9286841028185984,1.0,1.0
0.8635661823137428,0.8377235892676765,1.0
0.9690080520356396,1.0,0.9718641516185942
0.8193362803671502,0.9310032107231551,1.0
0.9570350978435507,0.6138559240375914,0.8488436321438195
0.9866762893522278,0.9716090926216245,1.0
0.7799311535182343,1.0,1.0
0.9821700309309415,0.9671902158602442,1.0
0.9804072655422857,0.9546731707517185,1.0
0.5339489736974063,1.0,0.8604185239336588
0.8326087927730459,0.8831252979640549,0.8270583459002128
0.9783537065788123,0.8493219071881962,0.9264107617286366
0.7715902418272162,1.0,1.0
0.9526347217137456,0.9669191355248261,0.8901616566117787
0.7526868367452906,0.8273292834167268,0.9539816028294428
0.7468876515899587,0.8232806912861357,0.9760913181970313
0.948548862901887,1.0,1.0
0.9988166577286147,1.0,1.0
0.976915698589984,0.9726839907363456,1.0
0.23465666312930733,0.11331758640857492,0.13160090076082775
0.7875824834672365,0.8652451602811606,1.0
0.8988135630229859,1.0,0.8562338018217777
0.9157014801373755,1.0,1.0
0.977511413714386,0.7100893025349209,0.9897361021493808
0.6371833179442459,0.9849696345676259,1.0
0.9000406653732371,0.9302015934873131,0.9121142096664312
0.9652506193034961,0.9757267034729639,0.9778822866378505
0.9603539578129213,1.0,0.9907754774469492
0.8743195138687524,1.0,1.0
0.9772176149616938,0.8417992237163182,1.0
0.7000698285050606,1.0,1.0
0.9214230404812399,0.9616467271621185,1.0
0.7530347268497906,1.0,0.8672661239422829
0.9054893614439792,0.88799402215652,1.0
0.8870767331740057,0.8782080988623499,1.0
0.8963124087324713,0.8363100544631437,1.0
0.9220176747008897,0.9996874258505033,1.0
0.943389963065056,1.0,1.0
0.8265790801678586,0.848339924109632,1.0
0.6767453427268264,1.0,0.859114199881811
0.6108185661282526,1.0,0.94857365408482
0.9681035633382894,0.8101190486526803,1.0
0.8601936449187111,0.9023831304280324,0.9122990179736248
0.41402702987955486,1.0,1.0
0.8985426701062097,1.0,1.0
0.7310557291733674,0.8122279447629046,0.7291773668695958
0.41561725418995554,1.0,0.993148759100823
0.9740999118537689,1.0,1.0
0.7838925314249674,1.0,1.0
0.5027123058797858,0.651404099216074,0.6889153595528676
0.677482340651443,1.0,1.0
0.8119084464063555,1.0,1.0
0.9383255091327293,1.0,1.0
0.8436812896737388,0.8777753472051137,1.0
0.6050444732527174,1.0,0.9215250627696053
0.9559242576861952,0.9158465067835163,1.0
0.9325088216975861,0.9807981200122775,1.0
0.8569626192369866,1.0,1.0
0.7152922003792639,1.0,0.8195916602147093
0.7974172763419842,0.8585569945545313,0.8630432772305188
0.9952083454158966,1.0,0.9513748000636147
0.8435563621004737,1.0,1.0
0.8363512112466992,0.854244197703516,1.0
0.9248719634693761,1.0,1.0
0.9206262752334732,0.9445729381826747,1.0
0.970270716439659,1.0,1.0
0.5623700611263942,0.9364521042513103,1.0
0.7920320946996859,0.9834056532406552,1.0
0.6290682152592861,0.3087433970489162,0.463456088689046
0.9991125383372204,1.0,1.0
0.80890798750131,1.0,1.0
0.8652276853016122,1.0,1.0
0.7149304599344677,1.0,0.9633279088025557
0.8441176672539858,0.8336729312701038,1.0
0.9759765682911407,1.0,1.0
0.9848805454782982,1.0,1.0
0.6766608782686367,0.7701539821214487,0.714587701867812
0.8653597097845972,1.0,1.0
0.9236904816501964,1.0,1.0
0.9638641560794804,0.9848488132370327,1.0
0.8847402037384582,1.0,1.0
0.25992521754343956,0.049736039863965686,0.07754755206346353
0.8681552685265311,0.9608950807861661,1.0
0.9121690594181625,0.9386688075923143,0.9290144015353713
0.5856304505238956,0.8977237790624997,1.0
0.9474560973982379,0.8657081150394785,1.0
0.8704660364640746,0.9095546195018851,0.8031083771609175
0.9966131600664624,0.9976218222106782,0.8418240940821617
0.9691488340178518,0.9784471223351634,0.9500983514469248
0.8413658623778684,1.0,1.0
0.7726492395308353,0.9390314388121872,1.0
0.9559866741201087,1.0,1.0
0.5915789278455159,0.6642766879114657,0.9044345399346578
0.8632764750435942,0.8772085725014467,0.8288431243789951
0.7992345548101448,1.0,1.0
0.9142998721375943,1.0,1.0
0.7980004023669679,1.0,1.0
0.9983055056180551,1.0,1.0
0.8375797526396743,0.6374811229905603,0.7985990526645099
0.955239680603763,0.985221311863646,0.977026016183537
0.9630842976393675,1.0,1.0
0.7000698285050606,1.0,1.0
0.9032728814815097,1.0,1.0
0.9973238645537478,1.0,1.0
0.9556681931115688,0.9690305520789834,1.0
0.9184699089181332,0.8977311523810578,1.0
0.9919283124513426,1.0,1.0
0.8398549435637799,0.987314366736333,1.0
0.919419141074937,1.0,1.0
0.6534991251494467,0.7580832466267016,0.7982720854107861
0.7790779779768924,0.8903324966306313,1.0
0.948901935551104,0.9643131610556328,1.0
0.877944752459337,0.9990967554627731,1.0
0.8567676440418963,1.0,1.0
0.9643688788829259,1.0,1.0
0.9087043230621535,0.9362499594114077,0.922941441646227
0.8694696298244994,1.0,1.0
0.853633098912366,0.99754032551534,0.9458382593252845
0.8174148904981708,1.0,0.9746014752880385
0.4185503356717274,1.0,1.0
0.9878477963005523,1.0,1.0
0.6272108657122385,1.0,1.0
0.7850007354826946,0.4234739784353172,0.6212318596989789
0.6883389397056343,0.7824060201247439,0.7053512444739778
0.43285098239305597,1.0,1.0
0.970147398215482,1.0,1.0
0.7955772360850437,1.0,1.0
0.8596690338027133,0.9707167843921843,1.0
0.8687145971570995,1.0,1.0
0.8342951994482914,1.0,1.0
0.7298551193476865,1.0,1.0
0.8840488227712691,1.0,1.0
0.984841754378589,0.989403868025899,1.0
0.8266438645453211,1.0,1.0
0.8063530991503168,1.0,1.0
0.9800597561765921,1.0,1.0
0.656485274000773,1.0,1.0
0.8636276384933692,1.0,0.9105395794415927
0.8513310858610895,1.0,1.0
0.6235139009929191,0.53627819197962,0.6895236033163701
0.6490255577328442,1.0,0.8197250366232844
0.7748987522806955,1.0,1.0
0.41906300775636673,1.0,0.9805993595722161
0.4784560294901502,1.0,0.8549889950936262
0.3933774270490896,1.0,1.0
0.7846414420773228,0.8955345774449153,1.0
0.5948528236918973,1.0,1.0
0.8284670474161752,1.0,1.0
0.8795539366069665,0.8898780085417507,1.0
0.9396689628778796,1.0,1.0
0.9337423126168668,1.0,1.0
0.6125650580717282,1.0,0.9387239670674734
0.4779902732980529,1.0,1.0
0.8926372895880723,0.9995164657546168,1.0
0.9927162965617832,1.0,1.0
0.8254820693024498,1.0,0.9156983159101058
0.883478167415434,1.0,1.0
0.8878431505059846,0.6866534183438044,1.0
0.9444441903176972,0.9763448780734826,1.0
0.8385471104024496,1.0,1.0
0.9843654535648481,1.0,1.0
0.9177745744047231,1.0,1.0
0.7063983427491024,0.9491103850419396,1.0
0.9753202134638883,0.9827566029719974,0.9753816193088519
0.9440614231054993,1.0,1.0
0.8934628549205659,1.0,1.0
0.9187103479526628,1.0,1.0
0.9749408388527463,0.862933494548447,1.0
0.8453294883423399,1.0,1.0
0.8859369181317454,1.0,1.0
0.7763873033271144,0.8438753076420581,1.0
0.8594384231104599,0.9513499474028623,1.0
0.7794864489999488,1.0,1.0
0.9570350978435507,0.6138559240375914,0.8488436321438195
0.7191252428080301,0.925152797690129,1.0
0.8231240918016834,1.0,1.0
0.6863630954570685,1.0,0.9304077579938573
0.8956673758644675,1.0,1.0
0.9762856521579317,1.0,0.9790596825941692
0.9632025559899101,0.9742968710739045,1.0
0.9465997863685813,1.0,0.9510255517390543
0.6536142186311191,0.32974467819517395,0.4935860146007184
0.9542854002876248,1.0,1.0
0.5675992117877519,0.8654988809170086,1.0
0.9926706774635313,1.0,1.0
0.5847304233185855,1.0,0.7320825952604235
0.94363257495893,0.9606344540330762,0.9427870528067064
0.9223525563335292,0.9457782169750001,0.9358867248662589
0.7316055931027315,0.9261899172330665,1.0
0.9718075434188783,0.966024487488305,1.0
0.9179110362058449,1.0,1.0
0.945132599110854,0.9616816856749791,0.9389409285777238
0.9405163343198792,1.0,1.0
0.9955033459459708,0.9968480146001907,1.0
0.8648450412869155,0.9056304268411918,0.9466903799275637
0.7819648548857521,0.9680757218376442,1.0
0.9131962176102273,1.0,1.0
0.8237586358462301,1.0,1.0
0.717860878094627,1.0,0.8933167747278117
0.8270226775278624,1.0,1.0
0.953565404852102,1.0,1.0
0.771516644954934,0.8404750380773109,0.7095609918950019
0.815241491420664,0.8972790461213369,1.0
0.9697875150476237,0.9972306421294256,1.0
0.9598192095547728,0.9467335464065045,0.9228681162871603
0.5197640425933858,0.9950532266380514,1.0
0.8710687138353717,1.0,1.0
0.8278437784915774,1.0,1.0
0.8871281380642795,0.7547087492429505,0.9710232822152587
0.9850411259318533,1.0,1.0
0.6343443653410283,0.6989518880706277,0.9566775101153289
0.999645096470684,1.0,1.0
0.9525345487166444,1.0,1.0
0.8798994447136491,0.9294246945754585,1.0
0.7537411382890623,0.8057536069134528,1.0
0.8853192902903355,0.9976645659943485,0.9945811954626839
0.7087844077315022,1.0,1.0
0.8732028145215609,0.8285568359655904,1.0
0.5642309034023911,1.0,0.9582681781011158
0.914031410556138,0.965071418337227,1.0
0.8849206500151312,0.9530627839628155,1.0
0.9572885789268875,1.0,1.0
0.9516646366225296,1.0,1.0
0.8229850258402286,1.0,1.0
0.9096183181605095,0.9752388385094736,1.0
0.9695664665667176,0.9787444898393467,0.9069830396769529
0.622416676205189,1.0,0.9989457835690806
0.9689037397834165,1.0,1.0
0.3068673191994107,0.5160887780683974,0.6930252474572048
0.911915185865976,0.7858268235998259,1.0
0.8901925111975284,0.9233257530447925,0.9562302408997343
0.4914454669569386,0.997995632433488,0.9486324402745812
0.8457957005437111,1.0,1.0
0.9244923310063193,1.0,0.6069689933446302
0.8433462098812753,0.831648241371926,1.0
0.8610172709959969,0.9029573665279823,0.8509732217892506
0.7597647128453626,0.7995417483552406,1.0
0.7181229074638789,0.8602945723093857,1.0
0.7034355661748084,1.0,0.7888520275928032
