X,Y,V1,V2,V3,V4,V5,V6,V7
139.5381077,-29.88229296,3.784645673,13.3506408,-5.045796245,4.861294554,2.096840012,-0.798698556,2.320976365
139.6474649,-30.00383199,5.012392575,-0.472278625,1.663105713,-2.633887606,-1.650945906,-1.733756146,-1.352591616
139.3628149,-30.203943,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.34856,-30.22373002,-1.710856543,2.878877938,-0.284769373,-0.773804039,-2.850916312,1.477606421,-1.584692977
139.7008178,-29.94309998,7.739633344,-2.868489172,-0.326220383,-0.380807848,0.520841625,2.095364058,0.526964136
139.462242,-30.13565303,-0.590978836,7.8831478,-1.059201459,0.776393792,-2.154960085,2.700868442,2.42809307
139.5737097,-29.90327496,3.048051192,-0.106542099,-6.419342718,0.396030767,0.382932893,-3.05253526,-3.671753389
139.3985115,-30.20808111,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6703615,-29.95800014,2.293190279,0.26822317,-0.695376969,1.26955191,-0.336789557,-2.982775509,-1.755647404
139.5447202,-29.93675847,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5229919,-30.10867945,-1.970976144,0.127393567,3.428577278,0.655987529,-4.260665212,1.539367497,4.344349305
139.5852411,-30.00656605,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6023282,-29.88889953,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5820879,-29.86168821,6.945084608,-7.267489072,-3.7246304,4.216158033,-2.150908655,0.890416002,0.503278005
139.6319048,-30.02806486,2.587250157,-0.265039447,-1.784511198,-4.591350332,-0.71691079,3.840839058,5.483796708
139.6974455,-29.90499148,10.5011234,-6.034977072,0.998886208,-0.623979187,3.526596185,2.164572988,-1.844960338
139.6922303,-29.92362059,3.583853698,6.64746036,-1.021515143,1.341695428,-1.425555003,-0.663004688,1.670285194
139.5116853,-30.13454811,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5725457,-29.89374789,3.146986919,-4.261746512,-5.177971773,-1.751120036,1.889784767,-3.620878173,-0.571129586
139.6678311,-29.93660092,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6429074,-29.85147393,0.498737704,-0.312921036,-2.729901948,4.311986181,-3.598453519,-3.932876008,2.500525663
139.6233634,-29.83074983,1.953409164,2.267959908,-3.474488249,3.360482179,-2.876932634,-0.596571674,-0.248818875
139.4925382,-30.12798313,0.542755542,0.592805973,-1.253238203,-1.8538127,-1.276968834,0.416054654,-1.343466857
139.544843,-30.10202222,-1.598423814,4.397915536,-0.594069046,-2.10874038,-4.109340766,1.000672015,3.339813497
139.4738723,-30.07622068,-1.289482821,-1.68047842,5.567652491,5.672721792,-11.20313085,1.533325371,3.887463147
139.6237481,-30.02690435,2.68389043,-0.494690205,-1.771284929,-4.595147652,-0.634769772,3.74527688,5.255301146
139.3483926,-30.25820209,-2.708451176,5.617671992,-0.15026244,-2.215929622,-3.610874752,-2.485156303,-3.095696649
139.3554175,-30.18263379,0.370095254,0.460183685,4.008836523,0.502276455,-1.953524306,-5.010095619,1.266591875
139.2957769,-30.12876302,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6591919,-29.90691628,0.669794844,2.729810378,-1.326732974,3.204743179,-0.963141632,-1.099621727,0.006675668
139.669115,-29.90429525,0.36133409,4.15504824,-1.041195761,2.046735743,-2.643354263,-1.306625603,-0.406726237
139.6369142,-29.84882902,0.693396277,0.334139827,-2.021691481,3.202927196,-3.057689076,-4.185463852,3.625903099
139.5268294,-30.05158527,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5695591,-29.90150255,1.789011515,4.144157509,-6.357479417,-0.45882687,-0.922179635,-2.377181299,-1.66637293
139.6188124,-30.05636327,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.4469653,-30.18488129,-1.027497399,2.684483616,3.492004409,3.550748553,-5.707069329,-2.993267168,-0.294039985
139.6657437,-30.00272284,2.570913682,0.596001415,3.149326189,-2.170531745,-1.920144011,-1.568422286,-0.534851182
139.3385526,-30.19405583,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6029353,-30.06571382,1.365111684,-3.538607294,3.674597595,-3.385322534,-0.579190301,-0.225155116,-0.565143836
139.6181793,-29.85086556,-1.038600245,7.314929409,-2.494345229,3.244246173,-2.275012643,-1.834787458,2.516610378
139.5011963,-30.08117687,-2.054493207,5.071072643,-1.974648816,2.71169825,-3.949082019,-3.148602661,-2.13609132
139.5367573,-29.91600019,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.3871798,-30.20427584,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.3451636,-30.17257712,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6289154,-29.91663106,2.426233546,4.04767454,-3.730082624,3.141340537,0.321665081,-2.394966222,-3.400506391
139.5727031,-29.9616404,-2.837716031,-1.929571526,4.084327691,1.607647834,-1.460368883,-1.21125569,1.025724263
139.3645502,-30.25242967,-2.301557532,4.210346114,0.616743775,-2.248481767,-2.621488152,-2.344801852,-3.828141858
139.3421443,-30.22061273,-2.078693312,0.459611777,-0.831596747,-0.662338891,-3.460555907,3.083665637,-1.619547995
139.5849141,-29.97880417,-4.715751291,-3.885915401,0.789554354,5.504910521,-1.838587245,-5.025154371,0.576966613
139.4406131,-30.09326833,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6888949,-29.91116411,7.504717882,-2.656768435,1.554639925,0.122845875,1.895655941,0.69464293,0.833787685
139.4008454,-30.18153816,-0.704225639,3.676695624,-3.557736364,-0.227087133,-0.325440566,2.151936365,-3.828890063
139.4189246,-30.11722749,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6339824,-30.00801484,5.669755771,-1.738126693,0.249925297,-1.057673822,-2.058832438,-0.797838772,-3.582798834
139.4427747,-30.09409513,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.2883161,-30.1330197,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.4713167,-30.11238195,3.335779946,3.591694174,-1.04619775,-1.947730043,-2.69024853,0.690984162,0.226322097
139.4195197,-30.12989987,-0.203418243,4.129501729,-1.562678127,-0.816586582,-2.667425674,3.697764641,-2.437091544
139.6293763,-29.86234092,-1.796968589,2.456136077,1.501388451,1.980700017,0.072496574,-4.10844776,4.591478013
139.5423814,-30.08753409,1.272700208,-3.444675907,1.393301621,-3.215842088,-0.382057949,3.135605793,3.18231068
139.4208874,-30.15858772,-1.116596953,5.233139561,-4.05708885,-1.535819608,-3.861162852,3.204016971,-1.368339355
139.4846857,-30.10587644,-1.559980498,13.92244536,-6.253098204,4.027757412,-1.381882692,0.113804511,0.918088059
139.6789564,-29.89734919,-1.656169235,8.058493095,-3.111979375,5.303351487,-4.23539711,0.068267928,-1.565252835
139.3746033,-30.21109552,-2.732967024,-3.084465583,1.744442656,-1.973876374,-0.990185118,0.538239243,-2.362335012
139.3050355,-30.20318469,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.2978013,-30.18594897,-1.47939704,-6.636527235,7.495061445,-2.570256638,2.886353197,0.707734228,-1.64257122
139.3496273,-30.2465313,-3.048009489,-9.314741629,2.481531683,2.540691608,-1.628520161,7.99700191,2.101445028
139.6891463,-29.94479998,2.509890434,4.424152509,-1.154057979,4.929233081,-2.561360455,0.489672782,3.632689846
139.317682,-30.16636948,-1.771107382,-0.607483661,-1.047713187,3.497628221,-0.393271753,-1.561850423,-1.022363323
139.3334599,-30.19334822,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.5478033,-30.10290043,-2.103479566,5.043991174,-1.389650181,-2.48659113,-4.974272699,1.746206545,3.86717702
139.6982685,-29.93883792,4.445561811,2.414878324,-0.7807634,0.611624441,-1.701345909,1.013450441,-0.698051646
139.3359531,-30.19260004,-0.756352401,0.066821046,-0.186374565,0.112234714,0.761256472,0.100302309,0.003014525
139.6321918,-29.84925002,-1.316856851,2.607685261,-0.705188211,3.602907837,-2.411769724,-3.393069305,2.119391255
139.6288085,-29.91508744,2.522739047,3.939896578,-3.883131409,3.199845789,0.546344874,-2.504903234,-3.540410462
139.5014539,-30.13374314,1.304404801,-1.547744586,0.355172924,-2.067467342,-0.404133591,-0.166714408,-5.862765693
139.5518463,-30.10031555,-2.458077146,5.757864104,-2.441407961,-3.687883872,-5.87820691,2.554217911,4.963249402
139.7225706,-29.97140749,2.634352215,-3.341100177,-3.743996134,0.189873274,1.156904663,3.615560373,1.682257797
139.5672509,-29.9570591,-1.278547812,-2.112637621,5.515034709,1.104741791,-1.01354262,0.103774866,-0.10407852
