X,Y,V1,V2,V3,V4,V5,V6,V7,fault_distance,granite_distance,strata_distance,SA_TMI_mean,SA_TMI_dissimilarity,SA_TMI_VRTP_1VD_mean,SA_TMI_VRTP_1VD_dissimilarity,SA_TMI_VRTP_1VD_correlation,SA_TMI_VRTP_AS_dissimilarity,SA_TMI_VRTP_BigE_dissimilarity,SA_TMI_VRTP_BigT_mean,SA_TMI_VRTP_BigT_dissimilarity,SA_TMI_VRTP_CAUCHY_3rd_mean,SA_TMI_VRTP_CAUCHY_3rd_std,SA_TMI_VRTP_CAUCHY_3rd_dissimilarity,SA_TMI_VRTP_dissimilarity,SA_TMI_VRTP_PseudoGrav_std,SA_TMI_VRTP_PseudoGrav_dissimilarity,SA_TMI_VRTP_Tilt_std,SA_TMI_VRTP_Tilt_dissimilarity,SA_GRAV_1VD_ONSHORE_mean,SA_GRAV_1VD_ONSHORE_dissimilarity,SA_GRAV_ONSHORE_std,SA_RAD_DOSE_mean,SA_RAD_DOSE_dissimilarity,SA_RAD_K_std,SA_RAD_K_dissimilarity,SA_RAD_U_dissimilarity,AlOH_Group_Composition_std,AlOH_Group_Composition_dissimilarity,AlOH_Group_Composition_correlation,AlOH_Group_Content_mean,AlOH_Group_Content_std,AlOH_Group_Content_dissimilarity,AlOH_Group_Content_correlation,FeOH_Group_Content_mean,Ferric_Oxide_Composition_dissimilarity,Ferric_Oxide_Composition_correlation,Ferric_Oxide_Content_std,Ferric_Oxide_Content_dissimilarity,Ferric_Oxide_Content_correlation,Ferrous_Iron_Index_std,Ferrous_Iron_Index_dissimilarity,Green_Vegetation_correlation,Gypsum_Index_mean,Kaolin_Group_Index_mean,Opaque_Index_correlation,Quartz_Index_dissimilarity,Silica_Index_dissimilarity,DEM_9s_dx,DEM_9s_dy,label
139.5381077,-29.88229296,0.609499636881061,0.9171180480911824,0.1976686840900237,0.7845058094459376,0.732592181897787,0.405690499931633,0.546005681994522,0.7946248286440875,1.0,1.0,0.0667461949582701,0.2126776555342391,0.4245022162879635,0.305712815234174,0.4886734155193362,0.4845360824742268,0.6122954883490332,0.2121140045523823,0.0891405342624855,0.4122897465173658,0.4732070899451904,0.4359724008887848,0.094885100074129,0.6722863507331261,0.0763964679035618,0.7006263639995445,0.4352402745995424,0.606096941866268,0.1754609485804947,0.2818946902369987,0.7943831108969713,0.1136666666666666,0.3732555496066675,0.1380121703853955,0.1993803938924541,0.4458954698936148,0.1934972244250594,0.6292490134768445,0.1516634124345262,0.2377713109639404,0.4438749359302921,0.3236965648838587,0.0011547344469819,0.2434456928838951,0.5939614858940652,0.4506018638568591,0.2585492227979273,0.5020187315533576,0.6739837331589325,0.2635774788241156,0.5305295650822952,0.0095400890463915,0.0002862686459669,0.9530423980988,0.2964984083674398,0.151238411512384,0.4844372449286387,0.5667176583959124,1.0
139.6474649,-30.00383199,0.6663183435675906,0.4514091230099716,0.4412126243350505,0.3304202780318964,0.5818820504278673,0.3488132576764434,0.3448762383663206,0.9820987680728444,1.0,1.0,0.6525698678464688,0.2736515145582919,0.6570129151393407,0.519300051466804,0.4054225783325826,0.54553264604811,0.4476945959345563,0.4703508324479183,0.3002322880371661,0.3448410382395936,0.5723137730323075,0.4167933575020466,0.5244625648628615,0.0443073993373911,0.5011409862089494,0.7545433140674369,0.317620137299771,0.8082085117234666,0.11661338012933,0.0899850221278783,0.3346279135110809,0.4630000000000001,0.1424647331967438,0.2655578093306289,0.4845098473113522,0.1570667164720526,0.3263283108643931,0.328814592592203,0.3757688091154995,0.3335033246366928,0.2778062532034854,0.6084209889235506,0.1720554317991181,0.1891385767790263,0.6651830107724934,0.1700737850195633,0.3569948186528496,0.4936912150654896,0.2147564148753435,0.4275037369207772,0.3630117010236285,0.0038160357395943,0.0,0.4777046498507837,0.2628467485220555,0.3428808634288086,0.4559365762092149,0.5237608012553264,1.0
139.3628149,-30.203943,0.3993474978608791,0.4695719669486387,0.3740735131765584,0.4967904057200485,0.6788842126309947,0.4603745007173278,0.4190962637826144,0.8162951964018726,1.0,0.9095437514904012,0.4502118091354238,0.2272946765331558,0.3891024260830414,0.5599588265568709,0.4178762472673209,0.456615120274914,0.2806147744174517,0.2101004313996379,0.3182346109175377,0.3568256183617853,0.4887398140936491,0.5126885744357386,0.4736842105263159,0.0294211171980951,0.2508185335846811,0.8283131635844867,0.5052631578947371,0.2949390973739553,0.2640207697300415,0.1145500601640621,0.3989749782969266,0.5770000000000001,0.3181804132536727,0.337079107505071,0.6099800840894005,0.3642743933223062,0.312747819191118,0.5705278801451681,0.2365110386141646,0.3824294304191198,0.4185674013326499,0.4022210270652446,0.101039264191042,0.1222690387016229,0.5892260466179962,0.5140946580513484,0.1951424870466321,0.8721884875945113,0.241903683506642,0.400909317389138,0.3628449868309648,0.0341398895384515,0.0080870889208365,0.3843788237913614,0.4397453387903592,0.3719385637193855,0.4500438796959382,0.5379353328694108,1.0
139.34856,-30.22373002,0.3551741500910506,0.5643131682951502,0.3705016232622338,0.4431109394414812,0.5336275071841641,0.5441525059172991,0.3321685879717386,0.6609880987250649,0.8813805756420291,0.9433201528436324,0.4189651946046126,0.6072589170353548,0.4475884141265894,0.4854606278950076,0.3449280923848421,0.2570160366552119,0.2526855065278466,0.2242294659996544,0.2282229965156794,0.6337499065446117,0.5777432104005593,0.5992281604490703,0.5538052878675562,0.0257194288393712,0.3190792737374739,0.7180998394111919,0.6468344774980932,0.2242053644833339,0.2570975263828457,0.0667422662936404,0.3832179320839097,0.2418888888888888,0.2336636881296399,0.2227180527383367,0.3532308032750609,0.3470444875200567,0.2606397039386728,0.4707814310521166,0.273588210732185,0.3151228942622117,0.3205193917649069,0.364149212735007,0.0658198620358203,0.1662505201831044,0.5572414618056505,0.4814279498835901,0.4407599309153712,0.3635674950727713,0.2381189169291427,0.5738249460222555,0.3266037177039248,0.0166951562850767,0.0098762685043437,0.2617395426829768,0.2019099590723055,0.2840736128407359,0.468606159808233,0.3876117696595397,1.0
139.7008178,-29.94309998,0.7925318921946969,0.3706782293542249,0.3689968848764688,0.4669200851599528,0.6692163836803949,0.581729176221256,0.447782732712735,0.942606898837298,0.9625675518272362,1.0,0.671501991762585,0.3033162366391292,0.5447172039230539,0.5512094698919198,0.4018189845746114,0.3319372852233677,0.5439390183440753,0.3927401727727614,0.3663980836236933,0.1901715626734396,0.560579482212542,0.4785405215764238,0.380513343217198,0.0512186217798729,0.1448928465125508,0.8796793147108444,0.3914759725400457,0.8995348642450227,0.6736820596648958,0.0230801363457773,0.2374224743319427,0.596,0.1602503000453514,0.3940770791075051,0.6883159991148486,0.0538981743345256,0.3774781919111813,0.4840970588287276,0.680982705938749,0.504519720352513,0.6740133264992311,0.2497603853117483,0.0011547344469819,0.3018102372034956,0.4542084562088509,0.1645842173706139,0.349740932642487,0.4995150179825123,0.2567407837637918,0.3418036870951669,0.5617873869075397,0.006746206028833,0.0,0.3901531132515068,0.4879490677580718,0.6720630967206308,0.4154691897618834,0.4196825277424297,1.0
139.462242,-30.13565303,0.4070007951879863,0.7329123669588811,0.3423884919544032,0.5370275902792947,0.5616140722557498,0.6185605114284781,0.551870368150152,0.7739043472777422,0.9469848372454464,1.0,0.8243830684836884,0.4654477115226499,0.597619820304786,0.556699262309144,0.3653327265221999,0.3245990836197023,0.3158155676747644,0.4570492122050604,0.2510646535036778,0.5178780249950825,0.5065191445897881,0.3700152029002455,0.6985421299728194,0.0441275373502465,0.2998313324734597,0.8503046790234488,0.4990083905415711,0.3348051877921542,0.1074785451573355,0.0775936657958622,0.5125829216140863,0.7265555555555556,0.1690742534928618,0.6722109533468562,0.7581323301615402,0.3615078795811975,0.3283108643933385,0.481683186555986,0.258002536938491,0.5044248392767763,0.5788484537843841,0.2451129533482758,0.160508083804038,0.1231793591344153,0.5357035828434067,0.3648108119704424,0.3737478411053538,0.5158100681994628,0.3424088678690901,0.6336156784587277,0.3800963109956689,0.0121976847922698,0.0022185820161746,0.5180476371727256,0.2504168561467333,0.3468935934689358,0.3735003547132969,0.4397486200909337,1.0
139.5737097,-29.90327496,0.575410896201139,0.4637311773567795,0.1478067361530467,0.5139838079334662,0.6636706445199091,0.2685951834634293,0.2179011233011276,0.924502551699733,1.0,1.0,0.0906786129920586,0.2393015152108374,0.4218337431005098,0.2966203465431463,0.6973778188281232,0.429410080183276,0.2050900677573955,0.2713274160641254,0.2069299264421215,0.7092996399755025,0.6401990117189064,0.4139866682259384,0.3024462564862862,0.020082615827751,0.2976485762476437,0.7224822076394875,0.2173913043478261,0.6240341848923778,0.3640231736339816,0.0518997748105103,0.4382334933368494,0.0927777777777777,0.1781593766272269,0.2540906017579445,0.1473777384377075,0.1089933283563162,0.1519957705524715,0.4292639716314593,0.2760343768632417,0.1882150390778965,0.4671108833077054,0.3462585783231812,0.0017321015903534,0.1352476071577195,0.8152925279882497,0.4226854213975162,0.1523316062176165,0.8676562029166077,0.4343196539910349,0.1928251121076233,0.3422844770372901,0.0016354437803281,0.0015744774932309,0.4522915202669091,0.1285432772472335,0.1022554310225542,0.4119371118908619,0.4509254882035993,1.0
139.5229919,-30.10867945,0.3431361157954152,0.4716127199022695,0.5053020839846938,0.5297329387614544,0.4769371180565067,0.5479092795312037,0.6567862298922031,0.7053995676943225,0.9794589556724406,1.0,0.0973059057596549,0.1381308484397635,0.6352257933060321,0.4967189912506433,0.4387382820892312,0.2650343642611683,0.3773549826474962,0.4400326374187832,0.299324912891986,0.2728014652504045,0.7049574673517411,0.5947842357618991,0.37986471460341,0.0112696687241042,0.3943967655521381,1.0000000000000002,0.3990846681922196,0.8033429687458885,0.3170268516070098,0.0440888058020453,0.2973911540616001,0.1423333333333333,0.1620239526976519,0.3259229208924949,0.2348971011285683,0.4918145739469648,0.3271213322759713,0.5846188829912438,0.3712259007825928,0.7608605590100456,0.274218349564326,0.8856636034451413,0.2234411242240427,0.2278401997503122,0.4181599566725942,0.393350994756345,0.4284974093264249,0.5631695940257019,0.3381544443571358,0.2346786248131539,0.4689446536504845,0.0350257549888072,0.0086596267689155,0.3932621437195736,0.1262505684402,0.2213055209630551,0.3471948476374096,0.315115512621836,0.0
139.5852411,-30.00656605,0.3993474978608791,0.4695719669486387,0.3740735131765584,0.4967904057200485,0.6788842126309947,0.4603745007173278,0.4190962637826144,0.8168146858976595,0.9816136840910418,1.0,0.2187417597268066,0.3013194471633844,0.403841134800913,0.4101904271744725,0.7367936343691555,0.5454252577319587,0.263262270699058,0.2876187927484033,0.4014590592334494,0.2771248120567126,0.6470074218729461,0.3565664834522277,0.3706449221645664,0.2037552917547492,0.2824064887389622,0.9172666980603444,0.2965675057208238,0.8408880854039402,0.384925118392269,0.028888301810935,0.1598940580289196,0.2217083333333333,0.2737356660656662,0.1474239350912779,0.1469351626466032,0.3621203909822967,0.2679916732751782,0.4553876446864088,0.5051369806554766,0.4549575599512582,0.3450153767298821,0.4191903841673368,0.0046189377879278,0.1970973782771535,0.7073872355552715,0.3982975690140656,0.3198186528497408,0.6237824249320963,0.4555034211124006,0.1423766816143497,0.4066230787309812,0.0049063314922817,0.0,1.0,0.2722828558435651,0.2111353258613532,0.4541215698437822,0.4527565459945362,0.0
139.6429074,-29.85147393,0.4574316163587489,0.4567780504553925,0.2817393749144441,0.7512267003943855,0.5035667104335995,0.2150462314773695,0.5558360840987847,0.6458452592636816,1.0,1.0,0.1994462364499215,0.3013194471633844,0.4218777068222967,0.2305712815234174,0.6004987683922453,0.0343642611683848,0.1214675260287556,0.2697150624194775,0.2032520325203251,0.5712568761702046,0.448360593020868,0.3176236697462283,0.2464788732394367,0.0271835628659825,0.2683797995832921,0.6834216953863697,0.5203661327231122,0.7473139657193484,0.5859515853746484,0.101836839747096,0.1302746315825061,0.3286666666666668,0.0912563252969567,0.5320081135902638,0.5186988271741536,0.0178414663903267,0.2842981760507532,0.2626858143979222,0.2840019654500138,0.0641813966608319,0.2936955407483342,0.6038593421394267,0.0023094688939639,0.2431335830212235,0.3946273835309948,0.162680221634868,0.3088082901554404,0.3400853284073319,0.3209372620174536,0.5226706527154958,0.3214377415397872,0.004361183615938,0.2776090271429177,0.4033182454039859,0.4133697135061391,0.2349522623495226,0.4169500058283921,0.4562535563602464,0.0
